cross_val,kfold,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
1,1,0.8421052631578947,1.0,0.75,0,0.5833333333333334,0.875,1.0,0.0,0.625,0.9333333333333333,0.8571428571428571,0,0.5968253968253968
1,2,0.7777777777777778,1.0,0,0.6363636363636364,0.5454545454545454,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.7777777777777778,0.5925925925925926
1,3,0.5,1.0,0.4375,0,0.4791666666666667,1.0,1.0,0.0,0.6666666666666666,1.0,0.6086956521739131,0,0.5362318840579711
1,4,0.7222222222222222,1.0,0.6153846153846154,0,0.5384615384615384,1.0,1.0,0.0,0.6666666666666666,1.0,0.761904761904762,0,0.5873015873015873
1,5,0.7777777777777778,1.0,0.6363636363636364,0,0.5454545454545454,1.0,1.0,0.0,0.6666666666666666,1.0,0.7777777777777778,0,0.5925925925925926
1,6,0.6111111111111112,1.0,0,0.36363636363636365,0.4545454545454546,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.5333333333333333,0.5111111111111111
1,7,0.7777777777777778,1.0,0,0.5555555555555556,0.5185185185185185,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.7142857142857143,0.5714285714285715
1,8,0.7222222222222222,0.8888888888888888,0,0.5555555555555556,0.48148148148148145,1.0,0.0,1.0,0.6666666666666666,0.9411764705882353,0,0.7142857142857143,0.5518207282913165
1,9,0.7647058823529411,0.8333333333333334,0.7272727272727273,0,0.5202020202020202,1.0,0.8888888888888888,0.0,0.6296296296296297,0.9090909090909091,0.7999999999999999,0,0.5696969696969697
1,10,0.3125,1.0,0,0.26666666666666666,0.4222222222222222,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.4210526315789474,0.47368421052631576
