cross_val,kfold,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
1,1,0.3684210526315789,0.75,0,0.09090909090909091,0.28030303030303033,1.0,0.0,1.0,0.6666666666666666,0.8571428571428571,0,0.16666666666666669,0.3412698412698412
1,2,0.8888888888888888,1.0,0,0.7777777777777778,0.5925925925925926,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.8750000000000001,0.625
1,3,0.4444444444444444,1.0,0,0.16666666666666666,0.3888888888888889,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.2857142857142857,0.42857142857142855
1,4,0.5555555555555556,1.0,0,0.2727272727272727,0.42424242424242425,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.42857142857142855,0.4761904761904762
1,5,0.5555555555555556,0.8571428571428571,1.0,0.3,0.719047619047619,1.0,0.1111111111111111,1.0,0.7037037037037037,0.923076923076923,0.19999999999999998,0.4615384615384615,0.5282051282051282
1,6,0.7222222222222222,1.0,0,0.5833333333333334,0.5277777777777778,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.7368421052631579,0.5789473684210527
1,7,0.5555555555555556,1.0,0,0.38461538461538464,0.4615384615384615,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.5555555555555556,0.5185185185185185
1,8,0.5,1.0,0.3076923076923077,0,0.4358974358974359,1.0,1.0,0.0,0.6666666666666666,1.0,0.47058823529411764,0,0.4901960784313726
1,9,0.5294117647058824,0.7142857142857143,0,0.4,0.37142857142857144,1.0,0.0,1.0,0.6666666666666666,0.8333333333333333,0,0.5714285714285715,0.4682539682539682
1,10,0.6875,1.0,0,0.5833333333333334,0.5277777777777778,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.7368421052631579,0.5789473684210527
