cross_val,kfold,accuracy,class_good_recall,class_bad_recall,mean_recall,class_good_precision,class_bad_precision,mean_precision,class_good_F1,class_bad_F1,mean_F1
1,1,0.8333333333333334,0.8275862068965517,0.8571428571428571,0.8423645320197044,0.96,0.5454545454545454,0.7527272727272727,0.888888888888889,0.6666666666666665,0.7777777777777777
1,2,0.6944444444444444,0.6944444444444444,0,0.3472222222222222,1.0,0.0,0.5,0.819672131147541,0,0.4098360655737705
1,3,0.8333333333333334,0.8214285714285714,0.875,0.8482142857142857,0.9583333333333334,0.5833333333333334,0.7708333333333334,0.8846153846153847,0.7000000000000001,0.7923076923076924
1,4,0.3333333333333333,0,0.3333333333333333,0.16666666666666666,0.0,1.0,0.5,0,0.5,0.25
1,5,0.6388888888888888,0.6388888888888888,0,0.3194444444444444,1.0,0.0,0.5,0.7796610169491525,0,0.38983050847457623
1,6,0.42857142857142855,0.42857142857142855,0,0.21428571428571427,1.0,0.0,0.5,0.6,0,0.3
1,7,0.5882352941176471,0.5882352941176471,0,0.29411764705882354,1.0,0.0,0.5,0.7407407407407407,0,0.37037037037037035
1,8,0.8235294117647058,0.8571428571428571,0.7692307692307693,0.8131868131868132,0.8571428571428571,0.7692307692307693,0.8131868131868132,0.8571428571428571,0.7692307692307693,0.8131868131868132
1,9,0.7058823529411765,0.7058823529411765,0,0.35294117647058826,1.0,0.0,0.5,0.8275862068965517,0,0.41379310344827586
1,10,0.7058823529411765,0.7058823529411765,0,0.35294117647058826,1.0,0.0,0.5,0.8275862068965517,0,0.41379310344827586
