cross_val,kfold,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
1,1,0.6842105263157895,1.0,0.5384615384615384,0,0.5128205128205128,0.8571428571428571,1.0,0.0,0.6190476190476191,0.923076923076923,0.7000000000000001,0,0.541025641025641
1,2,0.8333333333333334,1.0,0.7857142857142857,0,0.5952380952380952,1.0,1.0,0.0,0.6666666666666666,1.0,0.88,0,0.6266666666666666
1,3,0.6111111111111112,1.0,0.46153846153846156,0,0.4871794871794872,1.0,1.0,0.0,0.6666666666666666,1.0,0.631578947368421,0,0.543859649122807
1,4,0.6111111111111112,0.8,0.5384615384615384,0,0.4461538461538462,1.0,1.0,0.0,0.6666666666666666,0.888888888888889,0.7000000000000001,0,0.5296296296296297
1,5,0.6111111111111112,1.0,0.5333333333333333,0,0.5111111111111111,1.0,1.0,0.0,0.6666666666666666,1.0,0.6956521739130436,0,0.5652173913043478
1,6,0.7222222222222222,1.0,0,0.4444444444444444,0.48148148148148145,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.6153846153846153,0.5384615384615384
1,7,0.8888888888888888,1.0,0.8,0,0.6,1.0,1.0,0.0,0.6666666666666666,1.0,0.888888888888889,0,0.6296296296296297
1,8,0.6666666666666666,1.0,0.5,0,0.5,1.0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0,0.5555555555555555
1,9,0.5294117647058824,1.0,0,0.2,0.39999999999999997,1.0,0.0,1.0,0.6666666666666666,1.0,0,0.33333333333333337,0.4444444444444445
1,10,0.625,0.8571428571428571,0.4444444444444444,0,0.4338624338624338,1.0,0.8,0.0,0.6,0.923076923076923,0.5714285714285714,0,0.4981684981684982
