cross_val,kfold,accuracy,class_0_recall,class_1_recall,mean_recall,class_0_precision,class_1_precision,mean_precision,class_0_F1,class_1_F1,mean_F1
1,1,0.7922077922077922,0.76,0.8076923076923077,0.7838461538461539,0.6551724137931034,0.875,0.7650862068965517,0.7037037037037037,0.8400000000000001,0.7718518518518519
1,2,0.7402597402597403,0.6666666666666666,0.7627118644067796,0.7146892655367232,0.46153846153846156,0.8823529411764706,0.6719457013574661,0.5454545454545455,0.8181818181818181,0.6818181818181819
1,3,0.7402597402597403,0.6666666666666666,0.7627118644067796,0.7146892655367232,0.46153846153846156,0.8823529411764706,0.6719457013574661,0.5454545454545455,0.8181818181818181,0.6818181818181819
1,4,0.2987012987012987,0.28,1.0,0.64,1.0,0.03571428571428571,0.5178571428571429,0.43750000000000006,0.0689655172413793,0.25323275862068967
1,5,0.6233766233766234,0.6363636363636364,0.6212121212121212,0.6287878787878788,0.21875,0.9111111111111111,0.5649305555555555,0.3255813953488372,0.7387387387387386,0.5321600670437879
1,6,0.7142857142857143,0.625,0.7777777777777778,0.7013888888888888,0.6666666666666666,0.7446808510638298,0.7056737588652482,0.6451612903225806,0.7608695652173912,0.7030154277699859
1,7,0.7272727272727273,0.4782608695652174,0.8333333333333334,0.6557971014492754,0.55,0.7894736842105263,0.6697368421052632,0.5116279069767442,0.8108108108108109,0.6612193588937776
1,8,0.5714285714285714,0.4594594594594595,0.675,0.5672297297297297,0.5666666666666667,0.574468085106383,0.5705673758865248,0.5074626865671642,0.6206896551724138,0.564076170869789
1,9,0.7236842105263158,0.7272727272727273,0.7230769230769231,0.7251748251748251,0.3076923076923077,0.94,0.6238461538461538,0.43243243243243246,0.8173913043478259,0.6249118683901291
1,10,0.6447368421052632,1.0,0.64,0.8200000000000001,0.03571428571428571,1.0,0.5178571428571429,0.0689655172413793,0.7804878048780487,0.424726661059714
