cross_val,kfold,accuracy,class_good_recall,class_bad_recall,mean_recall,class_good_precision,class_bad_precision,mean_precision,class_good_F1,class_bad_F1,mean_F1
1,1,0.4722222222222222,0.4722222222222222,0,0.2361111111111111,1.0,0.0,0.5,0.6415094339622641,0,0.32075471698113206
1,2,0.3055555555555556,0,0.3055555555555556,0.1527777777777778,0.0,1.0,0.5,0,0.46808510638297873,0.23404255319148937
1,3,0.7777777777777778,0.7777777777777778,0,0.3888888888888889,1.0,0.0,0.5,0.8750000000000001,0,0.43750000000000006
1,4,0.3888888888888889,0,0.3888888888888889,0.19444444444444445,0.0,1.0,0.5,0,0.56,0.28
1,5,0.3888888888888889,0,0.3888888888888889,0.19444444444444445,0.0,1.0,0.5,0,0.56,0.28
1,6,0.34285714285714286,0,0.34285714285714286,0.17142857142857143,0.0,1.0,0.5,0,0.5106382978723404,0.2553191489361702
1,7,0.35294117647058826,0,0.35294117647058826,0.17647058823529413,0.0,1.0,0.5,0,0.5217391304347826,0.2608695652173913
1,8,0.47058823529411764,0,0.47058823529411764,0.23529411764705882,0.0,1.0,0.5,0,0.6399999999999999,0.31999999999999995
1,9,0.7352941176470589,0.7352941176470589,0,0.36764705882352944,1.0,0.0,0.5,0.8474576271186441,0,0.42372881355932207
1,10,0.3235294117647059,0,0.3235294117647059,0.16176470588235295,0.0,1.0,0.5,0,0.48888888888888893,0.24444444444444446
