cross_val,kfold,accuracy,class_good_recall,class_bad_recall,mean_recall,class_good_precision,class_bad_precision,mean_precision,class_good_F1,class_bad_F1,mean_F1
1,1,0.8333333333333334,0.8518518518518519,0.7777777777777778,0.8148148148148149,0.92,0.6363636363636364,0.7781818181818182,0.8846153846153846,0.7000000000000001,0.7923076923076924
1,2,0.9444444444444444,0.9090909090909091,1.0,0.9545454545454546,1.0,0.875,0.9375,0.9523809523809523,0.9333333333333333,0.9428571428571428
1,3,0.8611111111111112,0.8888888888888888,0.7777777777777778,0.8333333333333333,0.9230769230769231,0.7,0.8115384615384615,0.9056603773584906,0.7368421052631577,0.8212512413108242
1,4,0.8888888888888888,0.8571428571428571,1.0,0.9285714285714286,1.0,0.6666666666666666,0.8333333333333333,0.923076923076923,0.8,0.8615384615384616
1,5,0.9166666666666666,0.9047619047619048,0.9333333333333333,0.9190476190476191,0.95,0.875,0.9125,0.9268292682926829,0.9032258064516129,0.9150275373721479
1,6,0.8,0.8095238095238095,0.7857142857142857,0.7976190476190477,0.85,0.7333333333333333,0.7916666666666666,0.8292682926829269,0.7586206896551724,0.7939444911690496
1,7,0.8529411764705882,0.84,0.8888888888888888,0.8644444444444443,0.9545454545454546,0.6666666666666666,0.8106060606060606,0.8936170212765958,0.761904761904762,0.8277608915906789
1,8,0.9117647058823529,1.0,0.6666666666666666,0.8333333333333333,0.8928571428571429,1.0,0.9464285714285714,0.9433962264150945,0.8,0.8716981132075472
1,9,0.9411764705882353,0.9130434782608695,1.0,0.9565217391304348,1.0,0.8461538461538461,0.9230769230769231,0.9545454545454545,0.9166666666666666,0.9356060606060606
1,10,0.7058823529411765,0.68,0.7777777777777778,0.7288888888888889,0.8947368421052632,0.4666666666666667,0.6807017543859649,0.7727272727272727,0.5833333333333334,0.678030303030303
