cross_val,kfold,accuracy,class_1_recall,class_2_recall,class_3_recall,mean_recall,class_1_precision,class_2_precision,class_3_precision,mean_precision,class_1_F1,class_2_F1,class_3_F1,mean_F1
1,1,0.3684210526315789,0,0.29411764705882354,1.0,0.43137254901960786,0.0,1.0,1.0,0.6666666666666666,0,0.45454545454545453,1.0,0.48484848484848486
1,2,0.5555555555555556,1.0,0.42857142857142855,0,0.4761904761904762,1.0,1.0,0.0,0.6666666666666666,1.0,0.6,0,0.5333333333333333
1,3,0.7777777777777778,0.75,0.75,1.0,0.8333333333333334,1.0,0.75,0.5,0.75,0.8571428571428571,0.75,0.6666666666666666,0.7579365079365079
1,4,0.6666666666666666,0.8333333333333334,1.0,0.375,0.7361111111111112,1.0,0.4,1.0,0.7999999999999999,0.9090909090909091,0.5714285714285715,0.5454545454545454,0.6753246753246754
1,5,0.8888888888888888,0.875,0.8333333333333334,1.0,0.9027777777777778,0.875,0.8333333333333334,1.0,0.9027777777777778,0.875,0.8333333333333334,1.0,0.9027777777777778
1,6,0.5555555555555556,0,0.38461538461538464,1.0,0.4615384615384615,0.0,1.0,1.0,0.6666666666666666,0,0.5555555555555556,1.0,0.5185185185185185
1,7,0.6111111111111112,1.0,0.5,0,0.5,1.0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0,0.5555555555555555
1,8,0.6666666666666666,0.8,0.6153846153846154,0,0.47179487179487184,1.0,0.8888888888888888,0.0,0.6296296296296297,0.888888888888889,0.7272727272727274,0,0.5387205387205388
1,9,0.6470588235294118,1.0,0.5384615384615384,0,0.5128205128205128,1.0,1.0,0.0,0.6666666666666666,1.0,0.7000000000000001,0,0.5666666666666668
1,10,0.6875,0.8,0.6363636363636364,0,0.4787878787878788,1.0,0.875,0.0,0.625,0.888888888888889,0.7368421052631579,0,0.5419103313840156
