cross_val,kfold,accuracy,class_0_recall,class_1_recall,mean_recall,class_0_precision,class_1_precision,mean_precision,class_0_F1,class_1_F1,mean_F1
1,1,0.7922077922077922,0.782608695652174,0.7962962962962963,0.7894524959742351,0.6206896551724138,0.8958333333333334,0.7582614942528736,0.6923076923076923,0.8431372549019608,0.7677224736048265
1,2,0.7402597402597403,0.782608695652174,0.7222222222222222,0.7524154589371981,0.5454545454545454,0.8863636363636364,0.7159090909090908,0.6428571428571429,0.7959183673469388,0.7193877551020409
1,3,0.8701298701298701,0.9,0.8596491228070176,0.8798245614035087,0.6923076923076923,0.9607843137254902,0.8265460030165912,0.7826086956521738,0.9074074074074074,0.8450080515297906
1,4,0.7272727272727273,0.6666666666666666,0.75,0.7083333333333333,0.5,0.8571428571428571,0.6785714285714286,0.5714285714285715,0.7999999999999999,0.6857142857142857
1,5,0.7272727272727273,0.6,0.7884615384615384,0.6942307692307692,0.5769230769230769,0.803921568627451,0.6904223227752639,0.5882352941176471,0.7961165048543688,0.6921758994860079
1,6,0.7532467532467533,0.5925925925925926,0.84,0.7162962962962962,0.6666666666666666,0.7924528301886793,0.729559748427673,0.627450980392157,0.8155339805825242,0.7214924804873406
1,7,0.8051948051948052,0.8,0.8070175438596491,0.8035087719298246,0.5925925925925926,0.92,0.7562962962962962,0.6808510638297872,0.8598130841121495,0.7703320739709684
1,8,0.7272727272727273,0.55,0.7894736842105263,0.6697368421052632,0.4782608695652174,0.8333333333333334,0.6557971014492754,0.5116279069767442,0.8108108108108109,0.6612193588937776
1,9,0.8289473684210527,0.7619047619047619,0.8545454545454545,0.8082251082251082,0.6666666666666666,0.9038461538461539,0.7852564102564102,0.7111111111111111,0.8785046728971962,0.7948078920041537
1,10,0.7631578947368421,0.7777777777777778,0.7586206896551724,0.7681992337164751,0.5,0.9166666666666666,0.7083333333333333,0.6086956521739131,0.830188679245283,0.719442165709598
