cross_val,kfold,accuracy,class_0_recall,class_1_recall,mean_recall,class_0_precision,class_1_precision,mean_precision,class_0_F1,class_1_F1,mean_F1
1,1,0.7792207792207793,0.7666666666666667,0.7872340425531915,0.7769503546099291,0.696969696969697,0.8409090909090909,0.768939393939394,0.7301587301587302,0.8131868131868133,0.7716727716727718
1,2,0.7272727272727273,0.782608695652174,0.7037037037037037,0.7431561996779388,0.5294117647058824,0.8837209302325582,0.7065663474692203,0.631578947368421,0.7835051546391752,0.7075420510037982
1,3,0.7922077922077922,0.8333333333333334,0.7735849056603774,0.8034591194968554,0.625,0.9111111111111111,0.7680555555555555,0.7142857142857143,0.8367346938775511,0.7755102040816326
1,4,0.8311688311688312,0.8095238095238095,0.8392857142857143,0.8244047619047619,0.6538461538461539,0.9215686274509803,0.7877073906485671,0.7234042553191489,0.8785046728971961,0.8009544641081725
1,5,0.7402597402597403,0.5,0.8490566037735849,0.6745283018867925,0.6,0.7894736842105263,0.6947368421052631,0.5454545454545454,0.8181818181818182,0.6818181818181819
1,6,0.7402597402597403,0.782608695652174,0.7222222222222222,0.7524154589371981,0.5454545454545454,0.8863636363636364,0.7159090909090908,0.6428571428571429,0.7959183673469388,0.7193877551020409
1,7,0.6753246753246753,0.4482758620689655,0.8125,0.6303879310344828,0.5909090909090909,0.7090909090909091,0.65,0.5098039215686274,0.7572815533980584,0.6335427374833429
1,8,0.7662337662337663,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.5833333333333334,0.8490566037735849,0.7161949685534592,0.6086956521739131,0.8333333333333334,0.7210144927536233
1,9,0.7631578947368421,0.5714285714285714,0.8363636363636363,0.7038961038961038,0.5714285714285714,0.8363636363636363,0.7038961038961038,0.5714285714285714,0.8363636363636363,0.7038961038961038
1,10,0.8289473684210527,0.7272727272727273,0.8703703703703703,0.7988215488215489,0.6956521739130435,0.8867924528301887,0.7912223133716161,0.711111111111111,0.8785046728971964,0.7948078920041537
