Reg. Factor,Network Struc.,Accuracy,F1-Measure,Recall,Precision
0.05,"[34, 3, 2]",0.8833 ± 0.0531,0.8638 ± 0.0669,0.8804 ± 0.069,0.8585 ± 0.0699
0.15,"[34, 1, 3, 2]",0.8783 ± 0.0749,0.8592 ± 0.0761,0.9019 ± 0.0659,0.8443 ± 0.0647
0.05,"[34, 2, 2]",0.8749 ± 0.0456,0.8528 ± 0.0596,0.8765 ± 0.0469,0.8476 ± 0.0652
0.15,"[34, 3, 2]",0.8658 ± 0.0496,0.8479 ± 0.0436,0.8753 ± 0.0447,0.8421 ± 0.0365
0.1,"[34, 2, 2]",0.8662 ± 0.0493,0.845 ± 0.0548,0.8821 ± 0.0462,0.8326 ± 0.0584
0.15,"[34, 1, 2]",0.8664 ± 0.0458,0.8425 ± 0.0573,0.8808 ± 0.0505,0.8306 ± 0.0639
0.1,"[34, 3, 2]",0.8717 ± 0.0405,0.8402 ± 0.0741,0.8794 ± 0.05,0.8295 ± 0.0773
0.1,"[34, 1, 2]",0.8565 ± 0.0661,0.8371 ± 0.0706,0.8689 ± 0.0752,0.8264 ± 0.066
0.15,"[34, 2, 2]",0.8594 ± 0.0747,0.8333 ± 0.0878,0.8701 ± 0.0751,0.8255 ± 0.091
0.05,"[34, 1, 2]",0.8607 ± 0.0704,0.8314 ± 0.1,0.8593 ± 0.0838,0.8252 ± 0.1073
0.05,"[34, 3, 1, 2]",0.8468 ± 0.0468,0.8224 ± 0.0563,0.8472 ± 0.0546,0.8171 ± 0.0592
0.15,"[34, 2, 3, 2]",0.8519 ± 0.0608,0.8216 ± 0.0665,0.879 ± 0.0485,0.8075 ± 0.0663
0.1,"[34, 3, 2, 2]",0.8461 ± 0.0531,0.8166 ± 0.0748,0.8559 ± 0.0658,0.8057 ± 0.0748
0.05,"[34, 3, 3, 2]",0.8429 ± 0.0459,0.8133 ± 0.0564,0.8468 ± 0.0496,0.8023 ± 0.0599
0.15,"[34, 2, 2, 2]",0.8347 ± 0.0594,0.8064 ± 0.064,0.8312 ± 0.066,0.796 ± 0.0604
0.1,"[34, 3, 3, 2]",0.8327 ± 0.0664,0.8051 ± 0.0754,0.8395 ± 0.0638,0.7979 ± 0.0812
0.05,"[34, 3, 2, 2]",0.8229 ± 0.0478,0.7985 ± 0.0494,0.8143 ± 0.0629,0.7915 ± 0.0439
0.15,"[34, 3, 2, 2]",0.8375 ± 0.0539,0.7944 ± 0.1009,0.8305 ± 0.1003,0.7843 ± 0.0986
0.05,"[34, 2, 3, 2]",0.8218 ± 0.0746,0.786 ± 0.0858,0.8062 ± 0.0831,0.7818 ± 0.0873
0.1,"[34, 2, 1, 2]",0.8259 ± 0.0267,0.7846 ± 0.0558,0.839 ± 0.0748,0.7709 ± 0.0557
0.1,"[34, 2, 3, 2]",0.8089 ± 0.0816,0.7669 ± 0.0926,0.8243 ± 0.0752,0.7578 ± 0.0885
0.05,"[34, 1, 3, 2]",0.8204 ± 0.0583,0.7578 ± 0.1329,0.7847 ± 0.1565,0.7546 ± 0.113
0.15,"[34, 3, 3, 2]",0.7933 ± 0.146,0.691 ± 0.2318,0.7252 ± 0.2911,0.717 ± 0.1777
0.15,"[34, 3, 1, 2]",0.7226 ± 0.0997,0.5944 ± 0.1906,0.6123 ± 0.2662,0.6355 ± 0.1275
0.1,"[34, 1, 3, 2]",0.7063 ± 0.116,0.5527 ± 0.1853,0.5695 ± 0.2801,0.6039 ± 0.1114
0.1,"[34, 3, 1, 2]",0.6862 ± 0.1111,0.4824 ± 0.1597,0.4842 ± 0.2648,0.5582 ± 0.1046
0.05,"[34, 1, 2, 2]",0.6756 ± 0.0805,0.475 ± 0.1353,0.4607 ± 0.2192,0.5512 ± 0.0853
0.1,"[34, 1, 2, 2]",0.6701 ± 0.121,0.446 ± 0.1838,0.3845 ± 0.211,0.5455 ± 0.1437
0.15,"[34, 1, 2, 2]",0.6505 ± 0.0771,0.4213 ± 0.109,0.362 ± 0.1444,0.5208 ± 0.0659
0.1,"[34, 2, 2, 2]",0.645 ± 0.093,0.4148 ± 0.1026,0.3545 ± 0.1367,0.5177 ± 0.0561
0.05,"[34, 2, 2, 2]",0.6413 ± 0.0678,0.3898 ± 0.0257,0.3206 ± 0.0339,0.5 ± 0.0
0.1,"[34, 1, 1, 2]",0.6409 ± 0.0873,0.389 ± 0.0332,0.3204 ± 0.0437,0.5 ± 0.0
0.15,"[34, 1, 1, 2]",0.6411 ± 0.0968,0.3888 ± 0.0354,0.3206 ± 0.0484,0.5 ± 0.0
0.05,"[34, 2, 1, 2]",0.6421 ± 0.1083,0.3885 ± 0.043,0.3211 ± 0.0541,0.5 ± 0.0
0.05,"[34, 1, 1, 2]",0.6419 ± 0.1091,0.3885 ± 0.0422,0.321 ± 0.0546,0.5 ± 0.0
0.15,"[34, 2, 1, 2]",0.642 ± 0.1166,0.3882 ± 0.0444,0.321 ± 0.0583,0.5 ± 0.0
