Reg. Factor,Network Struc.,Accuracy,F1-Measure,Recall,Precision
0.05,"[8, 3, 2]",0.7722 ± 0.0525,0.741 ± 0.0564,0.7543 ± 0.0651,0.736 ± 0.0523
0.1,"[8, 2, 2]",0.7772 ± 0.0484,0.7396 ± 0.0619,0.7534 ± 0.0584,0.7341 ± 0.061
0.15,"[8, 2, 2, 2]",0.7761 ± 0.0395,0.7386 ± 0.05,0.7568 ± 0.0536,0.7304 ± 0.0482
0.15,"[8, 2, 1, 2]",0.7736 ± 0.0465,0.7384 ± 0.0536,0.754 ± 0.056,0.7321 ± 0.0519
0.1,"[8, 3, 3, 2]",0.7735 ± 0.0616,0.7374 ± 0.0678,0.7517 ± 0.0666,0.7329 ± 0.0643
0.1,"[8, 3, 1, 2]",0.7721 ± 0.04,0.7368 ± 0.0561,0.7492 ± 0.0533,0.7323 ± 0.056
0.05,"[8, 1, 2]",0.7681 ± 0.05,0.7364 ± 0.0469,0.7462 ± 0.045,0.7319 ± 0.0468
0.05,"[8, 3, 1, 2]",0.7709 ± 0.0379,0.7361 ± 0.0438,0.7491 ± 0.055,0.7351 ± 0.0421
0.1,"[8, 1, 2, 2]",0.7656 ± 0.0355,0.7357 ± 0.0263,0.7388 ± 0.0259,0.7347 ± 0.0275
0.1,"[8, 2, 2, 2]",0.7707 ± 0.037,0.7355 ± 0.047,0.7475 ± 0.0424,0.7328 ± 0.0532
0.05,"[8, 1, 2, 2]",0.7643 ± 0.0307,0.7355 ± 0.0422,0.7425 ± 0.0501,0.7376 ± 0.0396
0.15,"[8, 3, 1, 2]",0.7708 ± 0.0287,0.7348 ± 0.0391,0.748 ± 0.0426,0.7287 ± 0.0392
0.1,"[8, 3, 2]",0.7707 ± 0.0372,0.7348 ± 0.0388,0.754 ± 0.0492,0.7291 ± 0.034
0.15,"[8, 2, 2]",0.7735 ± 0.055,0.7346 ± 0.0721,0.7526 ± 0.0637,0.7295 ± 0.0727
0.15,"[8, 3, 2, 2]",0.7696 ± 0.0495,0.7341 ± 0.0492,0.7517 ± 0.0594,0.7282 ± 0.0461
0.1,"[8, 1, 3, 2]",0.7669 ± 0.0437,0.7333 ± 0.0534,0.7478 ± 0.0619,0.7307 ± 0.0484
0.05,"[8, 1, 1, 2]",0.7631 ± 0.0531,0.733 ± 0.0588,0.7422 ± 0.0568,0.7318 ± 0.0573
0.05,"[8, 2, 3, 2]",0.7683 ± 0.0841,0.7325 ± 0.0966,0.7458 ± 0.0958,0.7284 ± 0.093
0.05,"[8, 2, 2, 2]",0.7697 ± 0.051,0.7321 ± 0.059,0.752 ± 0.0647,0.7295 ± 0.0593
0.15,"[8, 1, 1, 2]",0.7631 ± 0.0487,0.7312 ± 0.0521,0.7403 ± 0.0594,0.7281 ± 0.0484
0.1,"[8, 1, 2]",0.763 ± 0.0337,0.731 ± 0.0346,0.7407 ± 0.0348,0.7323 ± 0.0429
0.1,"[8, 3, 2, 2]",0.7683 ± 0.0213,0.7308 ± 0.0223,0.7417 ± 0.0253,0.7267 ± 0.0238
0.05,"[8, 2, 1, 2]",0.7618 ± 0.0421,0.7299 ± 0.0463,0.744 ± 0.0425,0.7309 ± 0.0479
0.15,"[8, 3, 2]",0.767 ± 0.0542,0.7288 ± 0.065,0.7485 ± 0.0642,0.7242 ± 0.0639
0.15,"[8, 2, 3, 2]",0.767 ± 0.0746,0.7285 ± 0.0888,0.7472 ± 0.0909,0.7271 ± 0.0884
0.15,"[8, 1, 3, 2]",0.7605 ± 0.0441,0.7261 ± 0.0526,0.737 ± 0.0477,0.7231 ± 0.0537
0.05,"[8, 3, 2, 2]",0.7644 ± 0.0526,0.7258 ± 0.053,0.7415 ± 0.0533,0.7239 ± 0.0555
0.05,"[8, 3, 3, 2]",0.7631 ± 0.0401,0.7251 ± 0.0524,0.7411 ± 0.0608,0.7205 ± 0.0519
0.15,"[8, 1, 2]",0.7644 ± 0.0475,0.725 ± 0.0642,0.7363 ± 0.0697,0.7234 ± 0.0637
0.1,"[8, 2, 1, 2]",0.7629 ± 0.0384,0.7248 ± 0.046,0.7458 ± 0.0536,0.72 ± 0.0459
0.1,"[8, 2, 3, 2]",0.7616 ± 0.0382,0.7232 ± 0.0496,0.7369 ± 0.0556,0.7212 ± 0.0517
0.05,"[8, 2, 2]",0.7605 ± 0.0593,0.7225 ± 0.0643,0.7387 ± 0.0586,0.7188 ± 0.0633
0.15,"[8, 3, 3, 2]",0.7604 ± 0.0598,0.7221 ± 0.0719,0.7401 ± 0.0783,0.7175 ± 0.0681
0.05,"[8, 1, 3, 2]",0.7527 ± 0.0358,0.7202 ± 0.0387,0.7296 ± 0.04,0.7175 ± 0.0397
0.15,"[8, 1, 2, 2]",0.6471 ± 0.0644,0.4139 ± 0.0869,0.3494 ± 0.1071,0.5171 ± 0.054
0.1,"[8, 1, 1, 2]",0.6509 ± 0.0502,0.3938 ± 0.0185,0.3254 ± 0.0251,0.5 ± 0.0
