Reg. Factor,Network Struc.,Accuracy,F1-Measure,Recall,Precision
0.1,"[34, 2, 1, 2]",0.886 ± 0.0428,0.8687 ± 0.0438,0.9038 ± 0.0406,0.8546 ± 0.0425
0.1,"[34, 2, 3, 2]",0.8887 ± 0.0548,0.8684 ± 0.0699,0.9074 ± 0.0403,0.8573 ± 0.0739
0.05,"[34, 2, 3, 2]",0.8825 ± 0.0556,0.8663 ± 0.0602,0.8906 ± 0.0501,0.8572 ± 0.0625
0.15,"[34, 2, 2]",0.8894 ± 0.0443,0.8649 ± 0.0643,0.9093 ± 0.0454,0.849 ± 0.071
0.1,"[34, 3, 3, 2]",0.8891 ± 0.0408,0.8616 ± 0.0648,0.9167 ± 0.0336,0.8443 ± 0.0755
0.1,"[34, 3, 2, 2]",0.8802 ± 0.0504,0.8607 ± 0.0533,0.8972 ± 0.0532,0.8525 ± 0.0602
0.15,"[34, 2, 2, 2]",0.88 ± 0.0392,0.8602 ± 0.047,0.8935 ± 0.0406,0.8452 ± 0.0478
0.1,"[34, 2, 2]",0.8771 ± 0.0543,0.8578 ± 0.0664,0.8793 ± 0.0635,0.8476 ± 0.0678
0.1,"[34, 2, 2, 2]",0.877 ± 0.0372,0.857 ± 0.0415,0.884 ± 0.047,0.8455 ± 0.0416
0.1,"[34, 1, 2]",0.8779 ± 0.064,0.8564 ± 0.0645,0.897 ± 0.0712,0.8378 ± 0.0627
0.05,"[34, 3, 3, 2]",0.8753 ± 0.0594,0.8561 ± 0.0684,0.9006 ± 0.0478,0.8505 ± 0.0717
0.15,"[34, 3, 3, 2]",0.8833 ± 0.0507,0.8553 ± 0.0854,0.8864 ± 0.0619,0.8489 ± 0.0922
0.05,"[34, 3, 2, 2]",0.878 ± 0.0382,0.8548 ± 0.0559,0.8953 ± 0.0313,0.8434 ± 0.0672
0.05,"[34, 1, 1, 2]",0.8783 ± 0.0379,0.8548 ± 0.0524,0.8977 ± 0.0329,0.8406 ± 0.0615
0.15,"[34, 1, 3, 2]",0.8742 ± 0.0498,0.8547 ± 0.0593,0.8843 ± 0.0439,0.8486 ± 0.0695
0.15,"[34, 2, 3, 2]",0.8805 ± 0.05,0.854 ± 0.0719,0.8902 ± 0.0618,0.8385 ± 0.0782
0.15,"[34, 1, 2, 2]",0.878 ± 0.0533,0.854 ± 0.0633,0.8982 ± 0.0479,0.839 ± 0.0602
0.15,"[34, 3, 2]",0.877 ± 0.037,0.854 ± 0.0431,0.8968 ± 0.0402,0.8388 ± 0.0483
0.05,"[34, 2, 1, 2]",0.872 ± 0.0511,0.8534 ± 0.0555,0.883 ± 0.0533,0.842 ± 0.0532
0.15,"[34, 3, 2, 2]",0.8772 ± 0.0415,0.8531 ± 0.0531,0.8939 ± 0.046,0.8366 ± 0.0599
0.05,"[34, 2, 2]",0.8773 ± 0.0491,0.8513 ± 0.0529,0.8971 ± 0.0338,0.8441 ± 0.0679
0.05,"[34, 3, 2]",0.8725 ± 0.0728,0.8503 ± 0.088,0.8804 ± 0.0791,0.8454 ± 0.086
0.1,"[34, 1, 3, 2]",0.8832 ± 0.0487,0.8488 ± 0.0915,0.8983 ± 0.041,0.8378 ± 0.0932
0.15,"[34, 2, 1, 2]",0.8717 ± 0.0746,0.8478 ± 0.0859,0.884 ± 0.0533,0.8419 ± 0.0925
0.15,"[34, 3, 1, 2]",0.8668 ± 0.065,0.8475 ± 0.0639,0.8746 ± 0.0597,0.8444 ± 0.0691
0.15,"[34, 1, 1, 2]",0.8711 ± 0.0595,0.8457 ± 0.0742,0.8934 ± 0.0381,0.8353 ± 0.0735
0.1,"[34, 1, 2, 2]",0.8662 ± 0.0347,0.8452 ± 0.0412,0.8762 ± 0.0316,0.8364 ± 0.0482
0.05,"[34, 1, 2]",0.8688 ± 0.0435,0.845 ± 0.0486,0.8863 ± 0.0403,0.8322 ± 0.0553
0.1,"[34, 3, 2]",0.865 ± 0.074,0.8404 ± 0.0879,0.8857 ± 0.0646,0.8315 ± 0.088
0.05,"[34, 2, 2, 2]",0.8658 ± 0.0564,0.8394 ± 0.0836,0.8585 ± 0.0837,0.8371 ± 0.0849
0.1,"[34, 3, 1, 2]",0.8622 ± 0.0665,0.8388 ± 0.0785,0.8734 ± 0.0622,0.838 ± 0.0819
0.15,"[34, 1, 2]",0.8582 ± 0.048,0.8354 ± 0.0559,0.8676 ± 0.0502,0.8272 ± 0.0568
0.05,"[34, 1, 3, 2]",0.869 ± 0.0441,0.833 ± 0.0838,0.8702 ± 0.0703,0.8249 ± 0.085
0.05,"[34, 3, 1, 2]",0.8541 ± 0.0492,0.831 ± 0.0548,0.8642 ± 0.0617,0.8239 ± 0.0454
0.05,"[34, 1, 2, 2]",0.8579 ± 0.0651,0.8302 ± 0.071,0.8706 ± 0.0445,0.8262 ± 0.0696
0.1,"[34, 1, 1, 2]",0.8546 ± 0.0527,0.823 ± 0.0707,0.8644 ± 0.0705,0.8169 ± 0.0806
