cross_val,kfold,accuracy,class_good_recall,class_bad_recall,mean_recall,class_good_precision,class_bad_precision,mean_precision,class_good_F1,class_bad_F1,mean_F1
1,1,0.9722222222222222,0.9565217391304348,1.0,0.9782608695652174,1.0,0.9285714285714286,0.9642857142857143,0.9777777777777777,0.962962962962963,0.9703703703703703
1,2,0.9166666666666666,0.9090909090909091,0.9285714285714286,0.9188311688311688,0.9523809523809523,0.8666666666666667,0.9095238095238095,0.9302325581395349,0.896551724137931,0.9133921411387329
1,3,0.8611111111111112,0.96,0.6363636363636364,0.7981818181818181,0.8571428571428571,0.875,0.8660714285714286,0.9056603773584904,0.7368421052631579,0.8212512413108242
1,4,0.9166666666666666,0.9130434782608695,0.9230769230769231,0.9180602006688963,0.9545454545454546,0.8571428571428571,0.9058441558441559,0.9333333333333332,0.888888888888889,0.9111111111111111
1,5,0.8611111111111112,0.8275862068965517,1.0,0.9137931034482758,1.0,0.5833333333333334,0.7916666666666667,0.9056603773584906,0.7368421052631579,0.8212512413108242
1,6,0.8857142857142857,0.8333333333333334,1.0,0.9166666666666667,1.0,0.7333333333333333,0.8666666666666667,0.9090909090909091,0.846153846153846,0.8776223776223775
1,7,0.9411764705882353,0.92,1.0,0.96,1.0,0.8181818181818182,0.9090909090909092,0.9583333333333334,0.9,0.9291666666666667
1,8,0.8823529411764706,0.85,0.9285714285714286,0.8892857142857142,0.9444444444444444,0.8125,0.8784722222222222,0.8947368421052632,0.8666666666666666,0.8807017543859649
1,9,0.9411764705882353,0.9333333333333333,1.0,0.9666666666666667,1.0,0.6666666666666666,0.8333333333333333,0.9655172413793104,0.8,0.8827586206896552
1,10,0.8235294117647058,0.782608695652174,0.9090909090909091,0.8458498023715415,0.9473684210526315,0.6666666666666666,0.8070175438596491,0.8571428571428571,0.7692307692307692,0.8131868131868132
