cross_val,kfold,accuracy,class_good_recall,class_bad_recall,mean_recall,class_good_precision,class_bad_precision,mean_precision,class_good_F1,class_bad_F1,mean_F1
1,1,0.8055555555555556,0.7931034482758621,0.8571428571428571,0.8251231527093597,0.9583333333333334,0.5,0.7291666666666667,0.8679245283018867,0.631578947368421,0.7497517378351539
1,2,0.9166666666666666,0.8846153846153846,1.0,0.9423076923076923,1.0,0.7692307692307693,0.8846153846153846,0.9387755102040816,0.8695652173913044,0.904170363797693
1,3,0.8888888888888888,0.9,0.875,0.8875,0.9,0.875,0.8875,0.9,0.875,0.8875
1,4,0.8611111111111112,0.8214285714285714,1.0,0.9107142857142857,1.0,0.6153846153846154,0.8076923076923077,0.9019607843137255,0.761904761904762,0.8319327731092437
1,5,0.8888888888888888,0.8928571428571429,0.875,0.8839285714285714,0.9615384615384616,0.7,0.8307692307692307,0.9259259259259259,0.7777777777777777,0.8518518518518519
1,6,0.9714285714285714,1.0,0.9166666666666666,0.9583333333333333,0.9583333333333334,1.0,0.9791666666666667,0.9787234042553191,0.9565217391304348,0.967622571692877
1,7,0.8823529411764706,0.8695652173913043,0.9090909090909091,0.8893280632411067,0.9523809523809523,0.7692307692307693,0.8608058608058609,0.909090909090909,0.8333333333333333,0.8712121212121211
1,8,0.7352941176470589,0.7037037037037037,0.8571428571428571,0.7804232804232805,0.95,0.42857142857142855,0.6892857142857143,0.8085106382978724,0.5714285714285714,0.6899696048632219
1,9,0.9117647058823529,0.8846153846153846,1.0,0.9423076923076923,1.0,0.7272727272727273,0.8636363636363636,0.9387755102040816,0.8421052631578948,0.8904403866809882
1,10,0.9411764705882353,1.0,0.8666666666666667,0.9333333333333333,0.9047619047619048,1.0,0.9523809523809523,0.9500000000000001,0.9285714285714286,0.9392857142857143
