cross_val,kfold,accuracy,class_good_recall,class_bad_recall,mean_recall,class_good_precision,class_bad_precision,mean_precision,class_good_F1,class_bad_F1,mean_F1
1,1,0.8055555555555556,0.7666666666666667,1.0,0.8833333333333333,1.0,0.46153846153846156,0.7307692307692308,0.8679245283018869,0.631578947368421,0.7497517378351539
1,2,0.8333333333333334,0.8,0.9090909090909091,0.8545454545454545,0.9523809523809523,0.6666666666666666,0.8095238095238095,0.8695652173913043,0.7692307692307692,0.8193979933110367
1,3,0.9722222222222222,1.0,0.9166666666666666,0.9583333333333333,0.96,1.0,0.98,0.9795918367346939,0.9565217391304348,0.9680567879325643
1,4,0.9722222222222222,0.9655172413793104,1.0,0.9827586206896552,1.0,0.875,0.9375,0.9824561403508771,0.9333333333333333,0.9578947368421052
1,5,0.8055555555555556,0.72,1.0,0.86,1.0,0.6111111111111112,0.8055555555555556,0.8372093023255813,0.7586206896551725,0.7979149959903769
1,6,0.8571428571428571,0.875,0.8181818181818182,0.8465909090909092,0.9130434782608695,0.75,0.8315217391304348,0.8936170212765957,0.7826086956521738,0.8381128584643848
1,7,0.8235294117647058,0.8181818181818182,0.8333333333333334,0.8257575757575758,0.9,0.7142857142857143,0.8071428571428572,0.8571428571428572,0.7692307692307692,0.8131868131868132
1,8,0.9117647058823529,0.875,1.0,0.9375,1.0,0.7692307692307693,0.8846153846153846,0.9333333333333333,0.8695652173913044,0.9014492753623189
1,9,0.8235294117647058,0.8214285714285714,0.8333333333333334,0.8273809523809523,0.9583333333333334,0.5,0.7291666666666667,0.8846153846153847,0.625,0.7548076923076923
1,10,0.9411764705882353,0.9166666666666666,1.0,0.9583333333333333,1.0,0.8333333333333334,0.9166666666666667,0.9565217391304348,0.9090909090909091,0.9328063241106719
