cross_val,kfold,accuracy,class_0_recall,class_1_recall,mean_recall,class_0_precision,class_1_precision,mean_precision,class_0_F1,class_1_F1,mean_F1
1,1,0.6753246753246753,0.7142857142857143,0.6714285714285714,0.6928571428571428,0.17857142857142858,0.9591836734693877,0.5688775510204082,0.2857142857142857,0.7899159663865546,0.5378151260504201
1,2,0.7402597402597403,0.6875,0.7777777777777778,0.7326388888888888,0.6875,0.7777777777777778,0.7326388888888888,0.6875,0.7777777777777778,0.7326388888888888
1,3,0.6363636363636364,0,0.6363636363636364,0.3181818181818182,0.0,1.0,0.5,0,0.7777777777777778,0.3888888888888889
1,4,0.8181818181818182,0.75,0.8421052631578947,0.7960526315789473,0.625,0.9056603773584906,0.7653301886792453,0.6818181818181818,0.8727272727272727,0.7772727272727272
1,5,0.7532467532467533,0.65,0.8648648648648649,0.7574324324324324,0.8387096774193549,0.6956521739130435,0.7671809256661992,0.7323943661971831,0.7710843373493975,0.7517393517732903
1,6,0.7792207792207793,0.6388888888888888,0.9024390243902439,0.7706639566395663,0.8518518518518519,0.74,0.7959259259259259,0.7301587301587301,0.8131868131868132,0.7716727716727716
1,7,0.6233766233766234,0.4,0.8648648648648649,0.6324324324324324,0.7619047619047619,0.5714285714285714,0.6666666666666666,0.5245901639344264,0.6881720430107527,0.6063811034725896
1,8,0.6103896103896104,0.3333333333333333,0.9428571428571428,0.638095238095238,0.875,0.5409836065573771,0.7079918032786885,0.48275862068965514,0.6875,0.5851293103448276
1,9,0.7236842105263158,0.7391304347826086,0.7169811320754716,0.7280557834290402,0.53125,0.8636363636363636,0.6974431818181819,0.6181818181818182,0.7835051546391751,0.7008434864104967
1,10,0.7368421052631579,0.6956521739130435,0.7547169811320755,0.7251845775225595,0.5517241379310345,0.851063829787234,0.7013939838591343,0.6153846153846154,0.8,0.7076923076923077
