cross_val,kfold,accuracy,class_good_recall,class_bad_recall,mean_recall,class_good_precision,class_bad_precision,mean_precision,class_good_F1,class_bad_F1,mean_F1
1,1,0.9166666666666666,0.9310344827586207,0.8571428571428571,0.8940886699507389,0.9642857142857143,0.75,0.8571428571428572,0.9473684210526316,0.7999999999999999,0.8736842105263158
1,2,0.9166666666666666,0.88,1.0,0.94,1.0,0.7857142857142857,0.8928571428571428,0.9361702127659575,0.88,0.9080851063829787
1,3,0.8611111111111112,0.8,1.0,0.9,1.0,0.6875,0.84375,0.888888888888889,0.8148148148148148,0.8518518518518519
1,4,0.8611111111111112,0.8571428571428571,0.875,0.8660714285714286,0.96,0.6363636363636364,0.7981818181818181,0.9056603773584904,0.7368421052631579,0.8212512413108242
1,5,0.7777777777777778,0.7333333333333333,1.0,0.8666666666666667,1.0,0.42857142857142855,0.7142857142857143,0.846153846153846,0.6,0.723076923076923
1,6,0.8285714285714286,0.8275862068965517,0.8333333333333334,0.8304597701149425,0.96,0.5,0.73,0.888888888888889,0.625,0.7569444444444444
1,7,0.7941176470588235,0.8,0.7777777777777778,0.788888888888889,0.9090909090909091,0.5833333333333334,0.7462121212121212,0.8510638297872342,0.6666666666666666,0.7588652482269505
1,8,0.8529411764705882,0.8333333333333334,0.9,0.8666666666666667,0.9523809523809523,0.6923076923076923,0.8223443223443223,0.888888888888889,0.7826086956521738,0.8357487922705313
1,9,0.8529411764705882,0.8,1.0,0.9,1.0,0.6428571428571429,0.8214285714285714,0.888888888888889,0.782608695652174,0.8357487922705314
1,10,0.8529411764705882,0.8260869565217391,0.9090909090909091,0.8675889328063241,0.95,0.7142857142857143,0.8321428571428571,0.8837209302325583,0.8,0.8418604651162791
