Reg. Factor,Network Struc.,Accuracy,F1-Measure,Recall,Precision
0.05,"[13, 3, 3]",0.983 ± 0.0274,0.9826 ± 0.0286,0.9808 ± 0.0324,0.9875 ± 0.0201
0.15,"[13, 2, 3]",0.9833 ± 0.0268,0.9825 ± 0.0282,0.9822 ± 0.0288,0.9857 ± 0.023
0.1,"[13, 2, 3]",0.9823 ± 0.0285,0.9815 ± 0.0302,0.9819 ± 0.0296,0.9844 ± 0.0259
0.1,"[13, 3, 3]",0.9775 ± 0.0392,0.9781 ± 0.0392,0.9794 ± 0.037,0.981 ± 0.0333
0.15,"[13, 3, 3]",0.9778 ± 0.0388,0.9762 ± 0.0444,0.9711 ± 0.0572,0.9863 ± 0.0226
0.05,"[13, 2, 3]",0.9291 ± 0.1171,0.932 ± 0.106,0.9548 ± 0.0603,0.9417 ± 0.0848
0.15,"[13, 3, 3, 3]",0.8397 ± 0.1632,0.8286 ± 0.1876,0.8397 ± 0.2023,0.859 ± 0.1584
0.1,"[13, 3, 2, 3]",0.6033 ± 0.1456,0.5897 ± 0.1726,0.5846 ± 0.2273,0.6733 ± 0.1204
0.1,"[13, 1, 3, 3]",0.6677 ± 0.1384,0.5684 ± 0.18,0.5232 ± 0.2161,0.6447 ± 0.1408
0.15,"[13, 1, 3]",0.7127 ± 0.0952,0.5631 ± 0.0458,0.5077 ± 0.0623,0.654 ± 0.0205
0.05,"[13, 1, 3]",0.7263 ± 0.1135,0.5579 ± 0.0558,0.496 ± 0.0763,0.6619 ± 0.0151
0.15,"[13, 2, 2, 3]",0.7097 ± 0.1254,0.5504 ± 0.0727,0.4913 ± 0.0909,0.6403 ± 0.0384
0.1,"[13, 1, 3]",0.7073 ± 0.13,0.5461 ± 0.0578,0.4964 ± 0.0679,0.6475 ± 0.0255
0.15,"[13, 2, 3, 3]",0.6851 ± 0.0535,0.535 ± 0.0506,0.4849 ± 0.0533,0.6343 ± 0.0439
0.1,"[13, 2, 1, 3]",0.6994 ± 0.1187,0.5339 ± 0.0811,0.4737 ± 0.0957,0.6394 ± 0.0405
0.1,"[13, 2, 3, 3]",0.6764 ± 0.1328,0.5283 ± 0.0641,0.4682 ± 0.0802,0.6205 ± 0.0321
0.05,"[13, 2, 3, 3]",0.6901 ± 0.1079,0.5261 ± 0.0595,0.4597 ± 0.0749,0.6341 ± 0.033
0.1,"[13, 2, 2, 3]",0.6646 ± 0.0833,0.5259 ± 0.0483,0.4736 ± 0.055,0.6111 ± 0.0528
0.05,"[13, 3, 3, 3]",0.6868 ± 0.1352,0.525 ± 0.0633,0.4662 ± 0.0909,0.6326 ± 0.0371
0.15,"[13, 2, 1, 3]",0.6569 ± 0.1082,0.5213 ± 0.0494,0.4667 ± 0.0513,0.6158 ± 0.056
0.15,"[13, 3, 2, 3]",0.6643 ± 0.097,0.5164 ± 0.0609,0.457 ± 0.0711,0.6164 ± 0.0491
0.05,"[13, 1, 1, 3]",0.6511 ± 0.1058,0.5082 ± 0.0723,0.4518 ± 0.0809,0.5938 ± 0.063
0.05,"[13, 3, 2, 3]",0.6512 ± 0.0828,0.5076 ± 0.0489,0.4511 ± 0.054,0.6007 ± 0.0472
0.15,"[13, 3, 1, 3]",0.6483 ± 0.078,0.5051 ± 0.044,0.4489 ± 0.0495,0.6026 ± 0.0406
0.05,"[13, 3, 1, 3]",0.641 ± 0.1056,0.5014 ± 0.0587,0.447 ± 0.068,0.5942 ± 0.0596
0.1,"[13, 3, 3, 3]",0.655 ± 0.1394,0.5013 ± 0.074,0.4449 ± 0.0946,0.5995 ± 0.0367
0.15,"[13, 1, 3, 3]",0.6322 ± 0.119,0.4977 ± 0.0688,0.4429 ± 0.0814,0.5896 ± 0.0573
0.1,"[13, 3, 1, 3]",0.5998 ± 0.1427,0.4914 ± 0.1477,0.4464 ± 0.1581,0.5818 ± 0.1288
0.05,"[13, 2, 1, 3]",0.6175 ± 0.0792,0.4788 ± 0.0435,0.4226 ± 0.0457,0.5827 ± 0.0456
0.05,"[13, 1, 2, 3]",0.5675 ± 0.1451,0.4542 ± 0.1579,0.4037 ± 0.1748,0.5705 ± 0.1476
0.05,"[13, 2, 2, 3]",0.6002 ± 0.0874,0.4538 ± 0.046,0.392 ± 0.0468,0.5667 ± 0.0515
0.05,"[13, 1, 3, 3]",0.5446 ± 0.1337,0.4225 ± 0.111,0.3814 ± 0.1188,0.5369 ± 0.1003
0.1,"[13, 1, 2, 3]",0.5473 ± 0.1839,0.4192 ± 0.1334,0.3777 ± 0.14,0.5336 ± 0.0818
0.15,"[13, 1, 2, 3]",0.4671 ± 0.116,0.3167 ± 0.1467,0.2551 ± 0.14,0.4447 ± 0.1199
0.15,"[13, 1, 1, 3]",0.4062 ± 0.0874,0.2114 ± 0.0852,0.1568 ± 0.089,0.3514 ± 0.0571
0.1,"[13, 1, 1, 3]",0.3972 ± 0.0652,0.1886 ± 0.0221,0.1324 ± 0.0217,0.3333 ± 0.0
