Reg. Factor,Network Struc.,Accuracy,F1-Measure,Recall,Precision
0.1,"[13, 3, 3]",0.9944 ± 0.0176,0.9947 ± 0.0166,0.9958 ± 0.0132,0.9944 ± 0.0176
0.1,"[13, 2, 3]",0.9833 ± 0.0268,0.9843 ± 0.0261,0.9847 ± 0.0249,0.9863 ± 0.0237
0.05,"[13, 3, 3]",0.9833 ± 0.0268,0.9834 ± 0.0273,0.9836 ± 0.027,0.9858 ± 0.0242
0.15,"[13, 3, 3]",0.9774 ± 0.0293,0.9762 ± 0.0315,0.9777 ± 0.0297,0.9788 ± 0.03
0.15,"[13, 2, 3]",0.9778 ± 0.0388,0.9761 ± 0.0441,0.9736 ± 0.0534,0.9836 ± 0.0275
0.05,"[13, 2, 3]",0.9764 ± 0.0425,0.9686 ± 0.0534,0.9681 ± 0.061,0.9761 ± 0.0438
0.1,"[13, 3, 3, 3]",0.9101 ± 0.0911,0.902 ± 0.0915,0.9149 ± 0.0814,0.9172 ± 0.0797
0.15,"[13, 1, 3, 3]",0.6425 ± 0.1388,0.6076 ± 0.1318,0.5805 ± 0.174,0.7041 ± 0.0879
0.1,"[13, 2, 1, 3]",0.6706 ± 0.1451,0.5998 ± 0.1719,0.5964 ± 0.2351,0.666 ± 0.1353
0.05,"[13, 2, 2, 3]",0.6309 ± 0.0841,0.5875 ± 0.0911,0.6079 ± 0.1504,0.6821 ± 0.0743
0.05,"[13, 1, 3]",0.7125 ± 0.1416,0.5726 ± 0.0472,0.5246 ± 0.0681,0.6552 ± 0.019
0.15,"[13, 1, 2, 3]",0.7211 ± 0.1207,0.5718 ± 0.0416,0.5251 ± 0.0525,0.6577 ± 0.0189
0.15,"[13, 1, 3]",0.7166 ± 0.1178,0.566 ± 0.0476,0.517 ± 0.0628,0.6583 ± 0.0176
0.05,"[13, 1, 2, 3]",0.713 ± 0.107,0.5644 ± 0.0481,0.5144 ± 0.0588,0.6556 ± 0.0351
0.1,"[13, 1, 3]",0.7066 ± 0.1133,0.5599 ± 0.069,0.5091 ± 0.0768,0.6519 ± 0.0468
0.05,"[13, 2, 3, 3]",0.7074 ± 0.1147,0.5521 ± 0.0534,0.4945 ± 0.0724,0.6466 ± 0.0282
0.05,"[13, 1, 3, 3]",0.6222 ± 0.1551,0.5511 ± 0.1574,0.5542 ± 0.214,0.6589 ± 0.1193
0.15,"[13, 3, 3, 3]",0.6964 ± 0.1269,0.5474 ± 0.0681,0.4947 ± 0.082,0.6338 ± 0.049
0.15,"[13, 2, 2, 3]",0.6924 ± 0.0861,0.5468 ± 0.0573,0.4924 ± 0.0639,0.6315 ± 0.052
0.15,"[13, 1, 1, 3]",0.7139 ± 0.0977,0.5455 ± 0.0483,0.4801 ± 0.0668,0.6539 ± 0.0402
0.05,"[13, 2, 1, 3]",0.6911 ± 0.0921,0.5447 ± 0.0415,0.492 ± 0.0434,0.6369 ± 0.0378
0.05,"[13, 3, 1, 3]",0.7017 ± 0.1129,0.5443 ± 0.0496,0.4806 ± 0.0689,0.646 ± 0.0226
0.05,"[13, 3, 2, 3]",0.6905 ± 0.0854,0.5436 ± 0.0444,0.4891 ± 0.0544,0.6324 ± 0.0355
0.05,"[13, 3, 3, 3]",0.7025 ± 0.0665,0.543 ± 0.0352,0.4766 ± 0.0416,0.6472 ± 0.0284
0.1,"[13, 2, 2, 3]",0.6866 ± 0.0849,0.5387 ± 0.0359,0.4852 ± 0.0516,0.6296 ± 0.0278
0.1,"[13, 2, 3, 3]",0.7072 ± 0.1527,0.5371 ± 0.0826,0.4751 ± 0.1125,0.6491 ± 0.0248
0.1,"[13, 3, 1, 3]",0.6793 ± 0.121,0.5336 ± 0.0665,0.477 ± 0.0774,0.626 ± 0.0557
0.1,"[13, 3, 2, 3]",0.6979 ± 0.124,0.5328 ± 0.0676,0.471 ± 0.0719,0.6411 ± 0.0406
0.1,"[13, 1, 3, 3]",0.6847 ± 0.1031,0.5325 ± 0.0627,0.4759 ± 0.0697,0.6227 ± 0.0529
0.15,"[13, 2, 3, 3]",0.6754 ± 0.1025,0.5298 ± 0.0544,0.4725 ± 0.0643,0.6189 ± 0.0473
0.15,"[13, 2, 1, 3]",0.6571 ± 0.1063,0.508 ± 0.0565,0.4494 ± 0.0689,0.6031 ± 0.034
0.15,"[13, 3, 1, 3]",0.6582 ± 0.0928,0.5075 ± 0.0535,0.4516 ± 0.0615,0.6134 ± 0.0434
0.15,"[13, 3, 2, 3]",0.646 ± 0.068,0.501 ± 0.0505,0.4403 ± 0.0522,0.5984 ± 0.0544
0.1,"[13, 1, 2, 3]",0.6342 ± 0.1376,0.4947 ± 0.0665,0.4352 ± 0.081,0.582 ± 0.0432
0.1,"[13, 1, 1, 3]",0.6354 ± 0.1317,0.4503 ± 0.1188,0.4036 ± 0.1183,0.5486 ± 0.1037
0.05,"[13, 1, 1, 3]",0.4207 ± 0.1366,0.2595 ± 0.1455,0.1965 ± 0.1362,0.4184 ± 0.1371
