cross_val,kfold,accuracy,class_0_recall,class_1_recall,mean_recall,class_0_precision,class_1_precision,mean_precision,class_0_F1,class_1_F1,mean_F1
1,1,0.5974025974025974,0,0.5974025974025974,0.2987012987012987,0.0,1.0,0.5,0,0.7479674796747967,0.37398373983739835
1,2,0.6623376623376623,0,0.6623376623376623,0.33116883116883117,0.0,1.0,0.5,0,0.796875,0.3984375
1,3,0.36363636363636365,0.36363636363636365,0,0.18181818181818182,1.0,0.0,0.5,0.5333333333333333,0,0.26666666666666666
1,4,0.7012987012987013,0,0.7012987012987013,0.35064935064935066,0.0,1.0,0.5,0,0.8244274809160306,0.4122137404580153
1,5,0.6883116883116883,0,0.6883116883116883,0.34415584415584416,0.0,1.0,0.5,0,0.8153846153846155,0.40769230769230774
1,6,0.36363636363636365,0.35135135135135137,0.6666666666666666,0.509009009009009,0.9629629629629629,0.04,0.5014814814814814,0.5148514851485149,0.07547169811320754,0.2951615916308612
1,7,0.37662337662337664,0.37662337662337664,0,0.18831168831168832,1.0,0.0,0.5,0.5471698113207547,0,0.27358490566037735
1,8,0.6233766233766234,0,0.6233766233766234,0.3116883116883117,0.0,1.0,0.5,0,0.768,0.384
1,9,0.5921052631578947,0,0.5921052631578947,0.29605263157894735,0.0,1.0,0.5,0,0.743801652892562,0.371900826446281
1,10,0.7368421052631579,0,0.7368421052631579,0.3684210526315789,0.0,1.0,0.5,0,0.8484848484848484,0.4242424242424242
